recipe_name	image	obtained_from	item_sell_price	recipe_item	materials_needed	size
Flimsy axe	NA	Tom Nook	200	✔	5 x tree branch, 1 x stone	1.0x1.0
Stone axe	NA	Nook Stop (Pretty-Good Tools Recipes)	560	NA	1 x flimsy axe, 3 x wood	1.0x1.0
Axe	NA	Nook Stop (Pretty-Good Tools Recipes)	625	✔	1 x flimsy axe, 3 x wood, 1 x iron nugget	1.0x1.0
Golden axe	NA	Break axes 100 times	10655	NA	1 x axe, 1 x gold nugget	1.0x1.0
Flimsy shovel	NA	Blathers	200	✔	5 x hardwood	1.0x1.0
Shovel	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔	1 x flimsy shovel, 1 x iron nugget	1.0x1.0
Golden shovel	NA	Assist Gulliver 30 times	10675	NA	1 x shovel, 1 x gold nugget	1.0x1.0
Flimsy fishing rod	NA	Tom Nook (first DIY workshop)	100	✔	5 x tree branch	1.0x1.0
Fishing rod	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔	1 x flimsy fishing rod, 1 x iron nugget	1.0x1.0
Golden rod	NA	Complete the fish section of the critterpedia	10400	NA	1 x fishing rod, 1 x gold nugget	1.0x1.0
Flimsy net	NA	Tom Nook (first DIY workshop)	100	✔	5 x tree branch	1.0x1.0
Net	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔	1 x flimsy net, 1 x iron nugget	1.0x1.0
Golden net	NA	Complete the bug section of the critterpedia	10400	NA	1 x net, 1 x gold nugget	1.0x1.0
Flimsy watering can	NA	Tom Nook	200	✔	5 x softwood	1.0x1.0
Watering can	NA	Nook Stop (Pretty-Good Tools Recipes)	600	✔	1 x flimsy watering can, 1 x iron nugget	1.0x1.0
Golden watering can	NA	Attain a 5-star town rating	10675	NA	1 x watering can, 1 x gold nugget	1.0x1.0
Slingshot	NA	Timmy	225	✔	5 x hardwood	1.0x1.0
Golden slingshot	NA	Shoot down 300 balloons; Recipe will be in a golden balloon sometime after	10300	NA	1 x slingshot, 1 x gold nugget	1.0x1.0
Vaulting pole	NA	Blathers	600	NA	5 x softwood	1.0x1.0
Ladder	NA	Tom Nook after placing 2nd house plot	1440	NA	4 x wood, 4 x hardwood, 4 x softwood	1.0x1.0
Star wand	NA	Celeste Wandering Island	6500	NA	1 x large star fragment, 3 x star fragment	1.0x1.0
Bamboo wand	NA	Balloon	3900	NA	6 x young spring bamboo, 3 x star fragment	1.0x1.0
Mushroom wand	NA	NA	3300	NA	3 x skinny mushroom, 3 x star fragment	1.0x1.0
Cherry-blossom wand	NA	Balloon	2700	NA	3 x cherry-blossom petal, 3 x star fragment	1.0x1.0
Bunny Day wand	NA	Zipper (Bunny Day)	11100	NA	1 x wobbling Zipper toy, 3 x star fragment	1.0x1.0
Cosmos wand	NA	NA	1580	NA	1 x white cosmos, 3 x star fragment	1.0x1.0
Hyacinth wand	NA	NA	1660	NA	1 x pink hyacinths, 3 x star fragment	1.0x1.0
Lily wand	NA	NA	1580	NA	1 x white lilies, 3 x star fragment	1.0x1.0
Mums wand	NA	NA	1580	NA	1 x yellow mums, 3 x star fragment	1.0x1.0
Pansy Wand	NA	NA	1580	NA	1 x yellow pansies, 3 x star fragment	1.0x1.0
Rose wand	NA	NA	1580	NA	1 x red roses, 3 x star fragment	1.0x1.0
Tulip wand	NA	Balloon	1580	NA	1 x red tulips, 3 x star fragment	1.0x1.0
Windflower wand	NA	NA	1580	NA	1 x orange windflowers, 3 x star fragment	1.0x1.0
Shell wand	NA	NA	5100	NA	3 x summer shell, 3 x star fragment	1.0x1.0
Ice wand	NA	NA	6500	NA	1 x large snowflake, 3 x star fragment	1.0x1.0
Golden wand	NA	Celeste wandering island	20750	NA	2 x gold nugget , 3 x star fragment	1.0x1.0
Wand	NA	NA	1000	NA	2 x star fragment	1.0x1.0
Tree-branch wand	NA	Celeste wandering island	1550	NA	5 x tree branch, 3 x star fragment	1.0x1.0
Iron wand	NA	Celeste wandering island	3750	NA	3 x iron nugget, 3 x star fragment	1.0x1.0
Wedding wand	NA	NA	3500	NA	1 x wedding flower stand, 3 x star fragment	1.0x1.0
